Case,Level,TestCase,Context,Input,Expected,PassFail,table,row
1,"LEVEL 1 – CƠ BẢN (Basic API & Flow) Mục tiêu: kiểm tra chức năng cơ bản. Hệ thống chạy đúng  (happy path) CI pipeline (unit + integration) Docker hoặc non-docker Các dịch vụ được test:  Auth, Booking, Driver, AI  ETA, Pricing, Notification",Đăng ký user thành công,"Hệ thống hoạt động bình thường, chưa tồn tại user","{   ""email"": ""user@test.com"",   ""password"": ""123456"",   ""name"": ""Test User"" }",HTTP 201 Created User được lưu DB Trả về user_id Không có lỗi validation,,0,3
2,"LEVEL 1 – CƠ BẢN (Basic API & Flow) Mục tiêu: kiểm tra chức năng cơ bản. Hệ thống chạy đúng  (happy path) CI pipeline (unit + integration) Docker hoặc non-docker Các dịch vụ được test:  Auth, Booking, Driver, AI  ETA, Pricing, Notification",Đăng nhập trả JWT hợp lệ,User đã tồn tại trong hệ thống,"{   ""email"": ""user@test.com"",   ""password"": ""123456"" }","HTTP 200 OK Trả về access_token (JWT) Token decode hợp lệ (exp, sub):đọc được phần payload (dữ liệu bên trong). sub (Subject): Đại diện cho user_id hoặc identity. Cho biết token này thuộc về ai. exp (Expiration Time) Thời điểm token hết hạn Là timestamp (UNIX time)",,0,4
3,"LEVEL 1 – CƠ BẢN (Basic API & Flow) Mục tiêu: kiểm tra chức năng cơ bản. Hệ thống chạy đúng  (happy path) CI pipeline (unit + integration) Docker hoặc non-docker Các dịch vụ được test:  Auth, Booking, Driver, AI  ETA, Pricing, Notification",Tạo booking với input hợp lệ,"User đã login, driver available","{   ""pickup"": {""lat"": 10.76, ""lng"":  106.66},   ""drop"": {""lat"": 10.77, ""lng"": 106.70},   ""distance_km"": 5 }",HTTP 200 hoặc 201 status = REQUESTED hoặc  CONFIRMED Có booking_id Gọi ETA + Pricing thành công,,0,5
4,"LEVEL 1 – CƠ BẢN (Basic API & Flow) Mục tiêu: kiểm tra chức năng cơ bản. Hệ thống chạy đúng  (happy path) CI pipeline (unit + integration) Docker hoặc non-docker Các dịch vụ được test:  Auth, Booking, Driver, AI  ETA, Pricing, Notification",Lấy danh sách booking của user,User đã có ít nhất 1 booking,GET /bookings?user_id=123,"HTTP 200 Trả về list booking Mỗi item có booking_id, status",,0,6
5,"LEVEL 1 – CƠ BẢN (Basic API & Flow) Mục tiêu: kiểm tra chức năng cơ bản. Hệ thống chạy đúng  (happy path) CI pipeline (unit + integration) Docker hoặc non-docker Các dịch vụ được test:  Auth, Booking, Driver, AI  ETA, Pricing, Notification",Driver chuyển trạng thái online,Driver tồn tại trong hệ thống,"{   ""driver_id"": ""DRV001"",   ""status"": ""ONLINE"" }",HTTP 200 Driver status updated = ONLINE Có thể nhận booking,,0,7
6,"LEVEL 1 – CƠ BẢN (Basic API & Flow) Mục tiêu: kiểm tra chức năng cơ bản. Hệ thống chạy đúng  (happy path) CI pipeline (unit + integration) Docker hoặc non-docker Các dịch vụ được test:  Auth, Booking, Driver, AI  ETA, Pricing, Notification",Booking được tạo với status =  REQUESTED,Tạo booking thành công,"{   ""pickup"": {""lat"": 10.76, ""lng"":  106.66},   ""drop"": {""lat"": 10.77, ""lng"": 106.70},   ""distance_km"": 5 }",status ban đầu = REQUESTED Không bị skip sang trạng thái khác Có timestamp created_at,,0,8
7,,Gọi API ETA trả về giá trị > 0,AI ETA service hoạt động,"{   ""distance_km"": 5,   ""traffic_level"": 0.5 }",HTTP 200 eta > 0 eta hợp lý (ví dụ < 60 phút),,1,0
8,,Pricing API trả về giá hợp lệ,Pricing service hoạt động,"{   ""distance_km"": 5,   ""demand_index"": 1.0 }",HTTP 200 price > base fare surge >= 1,,1,1
9,,Notification gửi thành công,Booking đã được tạo,"{   ""user_id"": ""USR123"",   ""message"": ""Your ride is confirmed"" }",HTTP 200 Notification được gửi (log hoặc queue) Không lỗi timeout,,1,2
10,,Logout invalidate token,User đang login,Header: Authorization Bearer token,HTTP 200 Token bị invalidate Gọi lại API với token cũ → 401,,1,3
11,"LEVEL 2 – VALIDATION & EDGE CASES Mục tiêu: Hệ thống phản ứng thế nào khi input sai hoặc bất thường? CI pipeline (unit + integration) Docker hoặc non-docker Các mục kiểm thử: Validation,  Edge cases, Security basic, Idempotency, Error handling. Không tin input từ client. Hệ thống luôn fail an toàn (failsafe). Không có hành vi  “undefined”",Booking thiếu pickup → lỗi 400,User gửi request tạo booking nhưng thiếu field bắt buộc,"{   ""drop"": {""lat"": 10.77, ""lng"": 106.70} }","HTTP 400 Bad Request Message: ""pickup is required"" Không tạo booking",,1,4
12,"LEVEL 2 – VALIDATION & EDGE CASES Mục tiêu: Hệ thống phản ứng thế nào khi input sai hoặc bất thường? CI pipeline (unit + integration) Docker hoặc non-docker Các mục kiểm thử: Validation,  Edge cases, Security basic, Idempotency, Error handling. Không tin input từ client. Hệ thống luôn fail an toàn (failsafe). Không có hành vi  “undefined”",Sai format lat/lng → reject,Input sai kiểu dữ liệu (string thay vì float),"{   ""pickup"": {""lat"": ""abc"", ""lng"":  106.66},   ""drop"": {""lat"": 10.77, ""lng"": 106.70} }",HTTP 422 Unprocessable Entity Validation error từ schema Không gọi AI services,,1,5
13,"LEVEL 2 – VALIDATION & EDGE CASES Mục tiêu: Hệ thống phản ứng thế nào khi input sai hoặc bất thường? CI pipeline (unit + integration) Docker hoặc non-docker Các mục kiểm thử: Validation,  Edge cases, Security basic, Idempotency, Error handling. Không tin input từ client. Hệ thống luôn fail an toàn (failsafe). Không có hành vi  “undefined”",Driver offline không nhận booking,Không có driver online trong khu vực,Booking hợp lệ,"Booking status = PENDING hoặc  FAILED Không assign driver Trả message: ""No drivers available""",,1,6
14,"LEVEL 2 – VALIDATION & EDGE CASES Mục tiêu: Hệ thống phản ứng thế nào khi input sai hoặc bất thường? CI pipeline (unit + integration) Docker hoặc non-docker Các mục kiểm thử: Validation,  Edge cases, Security basic, Idempotency, Error handling. Không tin input từ client. Hệ thống luôn fail an toàn (failsafe). Không có hành vi  “undefined”",Payment method invalid → reject,User chọn phương thức thanh toán không tồn tại,"{   ""payment_method"": ""invalid_card"" }","HTTP 400 Message: ""Invalid payment method"" Không gọi Payment Service",,1,7
15,"LEVEL 2 – VALIDATION & EDGE CASES Mục tiêu: Hệ thống phản ứng thế nào khi input sai hoặc bất thường? CI pipeline (unit + integration) Docker hoặc non-docker Các mục kiểm thử: Validation,  Edge cases, Security basic, Idempotency, Error handling. Không tin input từ client. Hệ thống luôn fail an toàn (failsafe). Không có hành vi  “undefined”",ETA với distance = 0,Pickup = Drop,"{   ""distance_km"": 0 }",eta = 0 hoặc rất nhỏ Không crash Không trả giá trị âm,,1,8
16,,Pricing với demand_index = 0,"Không có nhu cầu (off-peak) “Surge” (hay surge pricing) là cơ chế tăng giá cước theo thời gian thực khi nhu cầu  (demand) cao hơn nguồn cung (supply) trong hệ thống đặt xe. surge = max(1.0, demand_index / supply_index) Nguyên tắc: 1. Giá KHÔNG BAO GIỜ = 0 2. Surge KHÔNG BAO GIỜ < 1 demand_index = chỉ số thể hiện mức độ nhu cầu đặt xe 	> 1Nhu c 	ầu cao (giờ cao điểm) 	= 1Bình th 	ường < 1Nhu c 	ầu thấp = 0Không có nhu c 	ầu supply_index = chỉ số thể hiện nguồn cung tài xế (drivers available) trong một khu vực tại một thời điểm. 	> 1Nhi 	ều tài xế (dư cung) 	= 1Bình th 	ường","{   ""distance_km"": 5,   ""demand_index"": 0,    ""supply_index"": 1 }",surge_multiplier ≥ 1 (không được <  1) Giá vẫn hợp lệ Không chia cho 0,,2,0
17,,Fraud API với input thiếu field,Gọi Fraud detection thiếu dữ liệu Fraud Detection cần gì? Hệ thống phát hiện gian lận thường cần nhiều tín hiệu: user_id driver_id booking_id amount (số tiền) location / route device_fingerprint,"{   ""user_id"": ""USR123"" }","HTTP 400 Message: ""missing required fields"" Không chạy model",,2,1
18,,Token expired → 401,User dùng token hết hạn,Header: Authorization Bearer expired_token,"HTTP 401 Unauthorized Message: ""Token expired"" Không xử lý request",,2,2
19,,Duplicate booking request  (idempotency),"User gửi request giống nhau 2 lần “Duplicate booking (idempotency)” là cơ chế giúp hệ thống không tạo nhiều booking giống nhau khi client gửi lại cùng một request nhiều lần (do retry, network lỗi, double click…).",giống nhau + same idempotency_key,Chỉ tạo 1 booking Request thứ 2 trả kết quả cũ Không tạo duplicate,,2,3
20,,Input quá lớn (payload size test),Client gửi request quá lớn,JSON > limit (ví dụ >1MB),HTTP 413 Payload Too Large Request bị reject Không xử lý logic bên trong,,3,0
21,"LEVEL 3 – INTEGRATION TEST Mục tiêu: kiểm tra các service tương tác với nhau đúng cách CI pipeline (unit + integration) Các mục kiểm thử: Service-to-service, AI integration, Kafka event, API Gateway, Retry logic",Booking → gọi ETA service thành công,Booking Service gọi AI ETA service,"{   ""pickup"": {""lat"": 10.76, ""lng"":  106.66},   ""drop"": {""lat"": 10.77, ""lng"": 106.70} }",Booking API gọi ETA service thành công Response chứa eta > 0 Không timeout,,3,1
22,"LEVEL 3 – INTEGRATION TEST Mục tiêu: kiểm tra các service tương tác với nhau đúng cách CI pipeline (unit + integration) Các mục kiểm thử: Service-to-service, AI integration, Kafka event, API Gateway, Retry logic",Booking → gọi Pricing service,Booking cần tính giá,"{   ""pickup"": {""lat"": 10.76, ""lng"":  106.66},   ""drop"": {""lat"": 10.77, ""lng"": 106.70} }",Gọi Pricing service Trả price > 0 surge ≥ 1,,3,2
23,"LEVEL 3 – INTEGRATION TEST Mục tiêu: kiểm tra các service tương tác với nhau đúng cách CI pipeline (unit + integration) Các mục kiểm thử: Service-to-service, AI integration, Kafka event, API Gateway, Retry logic",AI Agent chọn driver từ Driver Service,AI Agent cần chọn driver,danh sách driver từ service,AI Agent nhận danh sách driver Chọn driver hợp lệ Driver tồn tại và online,,3,3
24,"LEVEL 3 – INTEGRATION TEST Mục tiêu: kiểm tra các service tương tác với nhau đúng cách CI pipeline (unit + integration) Các mục kiểm thử: Service-to-service, AI integration, Kafka event, API Gateway, Retry logic",Booking → Payment → Notification flow,Booking hoàn chỉnh,request booking + payment method,Booking tạo thành công Payment được khởi tạo Notification gửi đến user Flow end-to-end thành công,,3,4
25,"LEVEL 3 – INTEGRATION TEST Mục tiêu: kiểm tra các service tương tác với nhau đúng cách CI pipeline (unit + integration) Các mục kiểm thử: Service-to-service, AI integration, Kafka event, API Gateway, Retry logic",Kafka event ride_requested được publish,Booking mới được tạo,"Bước 1: User đặt xe Gọi API /booking Bước 2: Booking Service tạo booking {   ""booking_id"": ""BK123"",   ""status"": ""REQUESTED"" } Bước 3: Publish event lên Kafka {   ""event_type"": ""ride_requested"",   ""ride_id"": ""BK123"",   ""user_id"": ""USR001"",   ""pickup"": {""lat"": 10.76, ""lng"":  106.66},   ""timestamp"": ""2026-04- 04T07:00:00Z"" } Bước 4: Các service khác nhận event Matching Service: tìm driver, Notification Service: báo user, AI Agent: tính ETA, pricing, Analytics: lưu log",Event ride_requested được publish lên Kafka Topic đúng; Topic: ride_events Payload đúng format,,3,5
26,"LEVEL 3 – INTEGRATION TEST Mục tiêu: kiểm tra các service tương tác với nhau đúng cách CI pipeline (unit + integration) Các mục kiểm thử: Service-to-service, AI integration, Kafka event, API Gateway, Retry logic",Driver nhận notification,Booking đã assign driver,driver_id,Notification Service gửi message Driver nhận được thông báo Không bị delay lớn,,3,6
27,,Booking update trạng thái ACCEPTED,Driver accept chuyến,"{   ""booking_id"": ""BK123"",   ""status"": ""ACCEPTED"" }",Status chuyển từ REQUESTED →  ACCEPTED DB update thành công Event ride_accepted được publish,,4,0
28,,MCP context được fetch thành công,"AI Agent cần context Để đưa ra quyết định đúng (chọn tài xế, tính giá, ETA…), AI Agent phải có đủ thông tin (ngữ cảnh) từ nhiều nguồn trong hệ thống. Context = tập hợp dữ liệu liên quan đến một tình huống hiện tại. Trong Cab Booking: Context = dữ liệu về chuyến đi + tài xế + môi trường + hệ thống Ví dụ context khi user đặt xe {   ""ride_id"": ""BK123"",   ""pickup"": {""lat"": 10.76, ""lng"": 106.66},   ""drop"": {""lat"": 10.77, ""lng"": 106.70},   ""available_drivers"": [     {""id"": ""D1"", ""distance"": 2, ""rating"": 4.8},     {""id"": ""D2"", ""distance"": 1, ""rating"": 4.5}   ],   ""traffic_level"": 0.7,   ""demand_index"": 1.5,   ""supply_index"": 0.8 } Nếu không có context thì AI Agent sẽ hoạt",request từ AI Agent,"MCP Gateway trả context hợp lệ Có đầy đủ data (ETA, pricing, driver) Không lỗi permission",,4,1
29,,API Gateway route đúng service,Request đi qua API Gateway,/booking endpoint,Gateway route đúng Booking Service Không route sai service Response đúng,,4,2
30,,Retry khi Pricing service timeout,Pricing service chậm,simulate timeout,Booking Service retry Hoặc fallback giá Không crash,,4,3
31,"LEVEL 4 - TRANSACTION Mục tiêu: Hệ thống có giữ được tính nhất quán dữ liệu không Transaction test đảm bảo: Không mất tiền, Không duplicate booking, Không trạng thái lỗi Điểm khó trong microservices:",Transaction tạo booking thành công,User tạo booking hợp lệ,request /booking,Booking được tạo Status = REQUESTED DB commit thành công Không partial write,,4,4
32,"LEVEL 4 - TRANSACTION Mục tiêu: Hệ thống có giữ được tính nhất quán dữ liệu không Transaction test đảm bảo: Không mất tiền, Không duplicate booking, Không trạng thái lỗi Điểm khó trong microservices:",Rollback khi lỗi giữa chừng,Lỗi xảy ra sau khi insert DB,simulate lỗi sau bước tạo booking,Transaction rollback Không có booking trong DB System consistent,,4,5
33,"LEVEL 4 - TRANSACTION Mục tiêu: Hệ thống có giữ được tính nhất quán dữ liệu không Transaction test đảm bảo: Không mất tiền, Không duplicate booking, Không trạng thái lỗi Điểm khó trong microservices:",Payment thất bại → rollback booking,Payment service fail,booking + payment,Booking status = FAILED hoặc  CANCELLED Không charge tiền Không để trạng thái “dang dở”,,4,6
34,"Không có transaction global Phải dùng: Saga pattern, Eventdriven, Compensation",Idempotent transaction (duplicate request),Client retry request,cùng Idempotency-Key,Chỉ 1 transaction được thực hiện Không double charge Trả kết quả cũ,,5,0
35,"Không có transaction global Phải dùng: Saga pattern, Eventdriven, Compensation",Concurrent booking (race condition),2 request cùng lúc,2 request booking song song,Không tạo duplicate Lock hoặc conflict resolve System consistent,,5,1
36,"Không có transaction global Phải dùng: Saga pattern, Eventdriven, Compensation",Saga transaction – success flow,Distributed transaction (Booking → Payment  → Notification),full flow,Tất cả bước thành công Saga complete State nhất quán,,5,2
37,"Không có transaction global Phải dùng: Saga pattern, Eventdriven, Compensation",Saga transaction – failure + compensation,Payment fail sau booking,simulate failure,Trigger compensation Booking → CANCELLED Refund (nếu cần),,5,3
38,"Không có transaction global Phải dùng: Saga pattern, Eventdriven, Compensation",Kafka event consistency (outbox pattern),DB update + publish event,create booking,DB commit và Kafka event đồng bộ Không mất event Không duplicate event,,5,4
39,"Không có transaction global Phải dùng: Saga pattern, Eventdriven, Compensation",Partial failure (network issue),Network fail khi gọi Payment,simulate timeout,Retry hoặc fallback Không inconsistent state Transaction không “kẹt”,,5,5
40,"Không có transaction global Phải dùng: Saga pattern, Eventdriven, Compensation",Data integrity (ACID),Transaction phức tạp tương ứng nhiều bước  DB operation,User đặt xe → tạo booking → tính giá  → thanh toán → assign driver,"Atomic: tất cả hoặc không gì cả Test: Simulate payment fail Expected: booking bị huỷ DB không có record “dang dở” Consistent: data hợp lệ. Sau transaction, dữ liệu luôn đúng rule business Test: Insert data sai → bị reject Expected: Không commit vào DB Isolated: không bị ảnh hưởng bởi request khác. Transaction không bị “ảnh hưởng” bởi transaction khác. Test: 2 request song song Expected: chỉ 1 thành công không duplicate Durable: commit không mất dữ liệu.  Khi đã commit → dữ liệu không mất.",,5,6
41,LEVEL 5 – AI SERVICE  VALIDATION AI + MCP + Agent validation,ETA model output trong range hợp lý,,,,,5,7
42,LEVEL 5 – AI SERVICE  VALIDATION AI + MCP + Agent validation,Pricing surge > 1 khi demand cao,,,,,5,8
43,LEVEL 5 – AI SERVICE  VALIDATION AI + MCP + Agent validation,Fraud score > threshold → flagged,,,,,5,9
44,,Recommendation trả top-3 drivers,,,,,6,0
45,,Forecast trả dữ liệu đúng format,,,,,6,1
46,,Model version được trả về đúng,,,,,6,2
47,,AI latency < 200ms,,,,,6,3
48,,Drift detection trigger,,,,,6,4
49,,Model fallback khi lỗi,,,,,6,5
50,,Input bất thường → model không crash,,,,,6,6
51,LEVEL 6 – AI AGENT LOGIC,Agent chọn driver gần nhất,,,,,6,7
52,LEVEL 6 – AI AGENT LOGIC,Agent chọn driver có rating cao hơn,,,,,6,8
53,LEVEL 6 – AI AGENT LOGIC,Agent cân bằng ETA vs price,,,,,6,9
54,LEVEL 6 – AI AGENT LOGIC,Agent gọi đúng tool (ETA vs  Pricing),,,,,6,10
55,LEVEL 6 – AI AGENT LOGIC,Agent xử lý context thiếu dữ liệu,,,,,6,11
